song_name,lyrics
Rev. Gary Davis playing 'Candyman',putting some variations into this key of C and let's take the tune Candyman we heard Reverend Davis play this at the beginning of this video he just played an instrumental version let me just run through it real quick and sing it the way he used to sing it now you play this as if a woman and a man was singing so I'm going to imitate the woman's voice and I'm going to imitate the man's voice don't get worried about this and let's hear what happened it's a lovely guitar arrangement which will be discussing I'll be teaching at the Reverend Davis said he learned this 1905 the Carolinas guitar play cold water urban I came to his town singing this that's the woman singing never meaning God give anything in a God of my the world see Mike and Amanda but did you get did you get to me running at the pitch you get the baby some running in the beach run let me get the do anything in a catamite a world i can demand all right let's pick it on that guitar now Reverend Davis used to call this style of playing old-fashioned picking I guess that was because it came about at the turn of the century he sort of looked down his nose at it saying that that's the way the old-fashioned plays would play guitar and he would play much fancier much more complicated and indeed he did but this way of playing guitar really has a lot of charm and I'm fascinated by it as I hope you are let's take a look at Candyman there's a couple of lovely tricks to this we're in the key of C we have our pinkie with the C chord on the third fret of the first string but our middle finger is going to be traveling down to the second fret of the third string we'll have this phrase travels down then it goes back home it's very important to me that that middle thing goes back to the second fret of the fourth string get back into it's C chord and back down to the second fret of the third string now Reverend Davis only used two fingers as I mentioned so I'll be playing this with two fingers every once in a while a little help from my middle finger you see what's comfortable for you take a look at the tablature again there's nothing difficult about the chord positions we just have to sing the F and a gene forward so I think we'll be ready now to split the screen and we'll play it slowly together and then we'll bring it up to tempo you ready let's split that screen start off with a C chord without taking every take that thing y'all a g7 chord see Cole but then he now what without the watch out I'm f---ing my secret there Oh make sure your middle fingers going back home and you can play around with this arrangement let's see what I can do you here we go gonna hammer into this you let me do a variation for that we bring it up to ten throwing in everything I can one more time
Sam Chatmon - Hollandale Blues (1978),well Moe Dee Dee's Hallandale blue why is he here taking this picture I gotta see my bid hey I know that woman wanna see me why you do boy I gotta flew to see my woman I knew she want to see me anything all be many more days Oh well show go jumping sha Shan jumping shower then I play hard bust all of the Hallandale the city you know listen boys are generally I got a letter for my woman she says come on home Sam I want to drop my love it all the drive I said baby don't sell it P no get away I should be no seven please don't get away you just put it on ice and freedom on them oh do you oh my waking up someday oh yes I will boy you know I've got the blues I long to Monday the door home highlighted blue see my baby I said don't touch your level I got the blues and see that woman but I don't wanna tell I love on social cargo nothing just like a dead oh you can cut it off and cut it off oh yes you can
Sam Chatmon - How Long (1978),the show's a holland blue  hello  oh how long baby how long  i stood at the station watching my woman leave town oh i felt so disgusted didn't know what she was bound  but how long oh how long baby how long i wished i could holla lost a man and jack i'd go up on your mountain my woman back but how long  oh how long baby how long sunday you're gonna be sorry you dumbly wrong it'll be too late woman i will be gone not so long oh so long baby so long  how long how long oh i got to keep my watching pawn baby how long  know how long how long 
Son House - Preaching the Blues 1967,what I didn't give up God well since I can go back to playing make you piece about Oh  preaching booth was a preach for a long time and lo sama and he scaled past seeing this five states they call them counties and then lose them again the change that they called Paris and I was living in East Cal pass down low seven are opening another boy around and y'all ins lose out but he hadn't steal out and never did forget this I said well I'll make a peace about preaching the blues  I don't give me religion ourselves or John the Baptist Church yeah religion there goes John the Baptist age and there are be about reaching SWA one have two words you know one didn't looked around and he Bergen and green one D look around then he burgundy dream you say al do happy now go back to Bell House and again yeah one sister jumped up and she was younger and she forgave us I know one thing I'll do now be glad when this old cornutus gone out that time I found a Masucci in our guard down the road  there was Yuki Fletcher and down the room let's see Mariana checks very good lord Peschel know Diesel's around sister you know your dress Tony then you  you know miss Seaton nobody not Burma waiting  [Applause]
'Country Love Song' Justin Champagne Feat. K. Michelle,foreign  [Applause]  songs let me take care of your heart this is Right Where You Belong show me your love and you need me when they see you on my own they can beat the southern charm I pray to God you never leave me I hope you always stay on my treasure like a lady this is what fairy tales all made up feels like a dream don't let me wake up come on girl let's make love to a country love song  hearted like a country love songs    from the moment every day to put a smile up on your face don't ever take your love away   thank you foreign 
Aaron Lewis - 'Country Boy' (Official Video),now I grew up down on dirt on in a town you wouldn't know Bob spit the place up of 1500 bucks back in 1964 grandfather was a drinker back in the day pulling down but a war is known to change a man and the whiskey is known to change a man  That's not me I rarely drink from the bottle but I'll smoke a little weed I still live in the sticks where you wouldn't go in 1012 on an old dirt road and the country boy is all love a bee now it's been 12 years since I sold my soul to the devil he said sign your name here up and down in line and your sons set up shop on Sunset II for me happy  record boy you better listen to me he said change your spell whitening your smile you can lose a couple of they're slightly better who's that wife do you meet your friend around no that's not me  cuz the biggest things and laughs all your friends and family  hmm and alack my jeans and my old t-shirts and couple extra pounds never really hurt there's a country boy it's all leatherby cuz hang time  carry on the  [Applause] we gonna track around why Jim  now two flags fly above my land and really sum up how I feel one is the colors that fly hand proud the red the white  the other one's got a rattlesnake don't tread on me is what it says and I'll take back to my okay is me [Applause] I'm proud to be a mare and I'm before but a cuz of Neverland  but I'll say  so the way  I love my country tell them my guns I love my family I love the way it is now and anybody that tried to change it has to come through me that should be all of our attitude is this is America and the country was good enough for me someone 
Alan Jackson - Chattahoochee (Official HD Video),"(engine revving) (""Chattahoochee"" by Alan Jackson)  Well, way down yonderon the Chattahoochee   It gets hotter than a hoochie coochie   We laid rubber on the Georgia asphalt   We got a little crazybut we never got caught   Down by the river on a Friday night   A pyramid of cans inthe pale moonlight   Talking 'bout cars anddreaming 'bout women   Never had a plan justa livin' for the minute   Yeah, way down yonderon the Chattahoochee   Never knew how much thatmuddy water meant to me   But I learned how to swimand I learned who I was   A lot about livin' anda litttle 'bout love   Ah ha   Well, we fogged up thewindows in my old Chevy   I was willing but she wasn't ready   So I settled for a burgerand a grape snow cone   I dropped her off earlybut I didn't go home   Down by the river on a Friday night   A pyramid of cans inthe pale moonlight   Talking 'bout cars anddreaming 'bout women   Never had a plan justa livin' for the minute   Yeah, way down yonderon the Chattahoochee   Never knew how much thatmuddy water meant to me   But I learned how to swimand I learned who I was   A lot about livin' anda little 'bout love   Well, way down yonderon the Chattahoochee   It gets hotter than a hoochie coochie   We laid rubber on the Georgia asphalt   We got a little crazybut we never got caught   Well, we fogged up thewindows in my old Chevy   I was willing but she wasn't ready   So I settled for a burgerand a grape snow cone   I dropped her off earlybut I didn't go home   Down by the river on a Friday night   A pyramid of cans inthe pale moonlight   Talking 'bout cars anddreaming 'bout women   Never had a plan justa livin' for the minute   Yeah, way down yonderon the Chattahoochee   Never knew how much thatmuddy water meant to me   But I learned how to swimand I learned who I was   A lot about livin' anda little 'bout love   A lot about livin' anda little 'bout love   Yeah   That's right "
Alan Jackson - Country Boy (Official Music Video),"(upbeat country music)  Excuse me ma'am, I saw you walking   I turned around, I'm not a stalker   Where you going? Maybe I can help you   My tank is full, I'dbe obliged to take you   'Cause I'm a country boy,I've got a four-wheel drive   Climb in my bed, I'lltake you for a ride   Up city streets, down country roads   I can get you where you need to go   'Cause I'm a country boy  (upbeat country music continues)  You sure look good,sitting in my right seat   Buckle up, and I'll takeyou through the five speeds   Wind it up, or I can slow it way down   In the woods or right uptown   I'm a country boy, I'vegot a four-wheel drive   Climb in my bed, I'lltake you for a ride   Up city streets, down country roads   I can get you where you need to go   'Cause I'm a country boy  (upbeat country music continues)  Big 35's whining on the asphalt   Grabbing mud, andslinging up some red dirt   'Cause I'm a country boy   My muffler's loud, dual thrush tubes   I crank the music, thetone gets real good   Let me know when we're getting close   You can slide on out, or wecan head on down the road   'Cause I'm a country boy,I've got a four-wheel drive   Climb in my bed, I'lltake you for a ride   Up city streets, down country roads   I can get you where you wanna go   'Cause I'm a country boy  (upbeat country music continues)  Bucket seats, soft as baby's new butt   Locking hubs, that'll takeyou through a deep rut   'Cause I'm a country boy,I've got a four-wheel drive   Climb in my bed, I'lltake you for a ride   Up city streets, down winding roads   I can get you where you need to go   'Cause I'm a country boy  (upbeat country music intensifies)  Yeah I'm a country boy,I've got a four-wheel drive   Climb in my bed, I'lltake you for a ride   Up city streets, down country roads   I can get you where you wanna go   'Cause I'm a country boy   Yeah, I'm a country boy   Oh, I'm just a country boy   A nice little country boy  (upbeat country music continues)"
Alan Jackson - Livin' On Love (Official Music Video),"(wistful country music)(audience cheering)  Two young people without a thing   Say some vows, spread their wings   And settle down withjust what they need   Livin' on love   She don't care 'bout what's in style   She just likes the way he smiles   It takes more than marble and tile   Livin' on love   Livin' on love, buyin' on time   Without somebody nothingain't worth a dime   Just like an old-fashionstory book rhyme   Livin' on love   It sounds simple, that'swhat you're thinkin   But love can walk throughfire without blinkin   It doesn't take muchwhen you get enough   Livin' on love  - Ah, come on, fiddle man. (wistful country music continues)  Two old people without a thing   Children gone but still they sing   Side by side in that front porch swing   Livin' on love   He can't see anymore   She can barely sweep the floor   Hand in hand they'llwalk through that door   Just livin' on love   Livin' on love, buyin' on time   Without somebody nothingain't worth a dime   Just like an old-fashionstory book rhyme   Livin' on love   It sounds simple, that'swhat you're thinkin   But love can walk throughfire without blinkin   It doesn't take muchwhen you get enough   No, it doesn't takemuch when you get enough   Just livin' on love "
Alan Jackson - Remember When (Official Music Video),"(light guitar music)  Remember when   I was young and so were you   And time stood still   And love was all we knew   You were the first, so was I   We made love and then you cried   Remember when  (light guitar music)  Remember when   We vowed the vows and walked the walk   And gave our hearts   Made the start and it was hard   We lived and learned,life threw curves   There was joy, there was hurt   Remember when  (light guitar music)  Remember when   Old ones died and new were born   And life was changed   Disassembled, rearranged   We came together, fell apart   And broke each other's hearts   Remember when  (light guitar music)  Remember when   The sound of little feet   Was the music   We danced to week to week   Brought back the love, we found trust   Vowed we'd never give it up   Remember when  (light guitar music)  Remember when   30 seemed so old   Now, lookin' back   It's just a steppin' stone   To where we are, where we've been   Said we'd do it all again   Remember when  (light guitar music)  Remember when   We said when we turned gray   When the children   Grow up and move away   We won't be sad, we'll be glad   For all the life we've had   And we'll remember when  (light guitar music)  Remember when  (light guitar music)  Remember when  (mellow orchestral music)"
