path_audio,genre,song_name,path_video
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Alan Jackson - Chattahoochee (Official HD Video).f140.m4a,country,Alan Jackson - Chattahoochee (Official HD Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Alan Jackson - Chattahoochee (Official HD Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Alan Jackson - Country Boy (Official Music Video).f140.m4a,country,Alan Jackson - Country Boy (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Alan Jackson - Country Boy (Official Music Video).f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Alan Jackson - Livin' On Love (Official Music Video).f140.m4a,country,Alan Jackson - Livin' On Love (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Alan Jackson - Livin' On Love (Official Music Video).f397.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Alan Jackson - Remember When (Official Music Video).f140.m4a,country,Alan Jackson - Remember When (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Alan Jackson - Remember When (Official Music Video).f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Alan Jackson - Small Town Southern Man (Official Music Video).f140.m4a,country,Alan Jackson - Small Town Southern Man (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Alan Jackson - Small Town Southern Man (Official Music Video).f135.mp4
"C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Alan Jackson, Jimmy Buffett - It's Five O' Clock Somewhere (Official Music Video).f140.m4a",country,"Alan Jackson, Jimmy Buffett - It's Five O' Clock Somewhere (Official Music Video)","C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Alan Jackson, Jimmy Buffett - It's Five O' Clock Somewhere (Official Music Video).f135.mp4"
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Austin Snell - Wasting All These Tears (Visualizer).f140.m4a,country,Austin Snell - Wasting All These Tears (Visualizer),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Austin Snell - Wasting All These Tears (Visualizer).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Avery Anna - Self Love (Official Music Video).f140.m4a,country,Avery Anna - Self Love (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Avery Anna - Self Love (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Billy Currington - Must Be Doin' Somethin' Right (Closed Captioned).f140.m4a,country,Billy Currington - Must Be Doin' Somethin' Right (Closed Captioned),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Billy Currington - Must Be Doin' Somethin' Right (Closed Captioned).f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Billy Currington - People Are Crazy.f140.m4a,country,Billy Currington - People Are Crazy,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Billy Currington - People Are Crazy.f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Billy Ray Cyrus - Achy Breaky Heart (Official Music Video).f140.m4a,country,Billy Ray Cyrus - Achy Breaky Heart (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Billy Ray Cyrus - Achy Breaky Heart (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Blake Shelton - Boys 'Round Here ft. Pistol Annies & Friends (Official Music Video).f140.m4a,country,Blake Shelton - Boys 'Round Here ft. Pistol Annies & Friends (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Blake Shelton - Boys 'Round Here ft. Pistol Annies & Friends (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Blake Shelton - God's Country (Official Music Video).f140.m4a,country,Blake Shelton - God's Country (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Blake Shelton - God's Country (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Blake Shelton - Home (Official Music Video).f140.m4a,country,Blake Shelton - Home (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Blake Shelton - Home (Official Music Video).f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Blake Shelton - Nobody But You (Duet with Gwen Stefani) (Official Music Video).f140.m4a,country,Blake Shelton - Nobody But You (Duet with Gwen Stefani) (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Blake Shelton - Nobody But You (Duet with Gwen Stefani) (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Blake Shelton - Ol' Red (Official Music Video).f140.m4a,country,Blake Shelton - Ol' Red (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Blake Shelton - Ol' Red (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Brad Paisley - Whiskey Lullaby ft. Alison Krauss (Official Video).f140.m4a,country,Brad Paisley - Whiskey Lullaby ft. Alison Krauss (Official Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Brad Paisley - Whiskey Lullaby ft. Alison Krauss (Official Video).f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Brett Young - In Case You Didn't Know (Official Music Video).f140.m4a,country,Brett Young - In Case You Didn't Know (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Brett Young - In Case You Didn't Know (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Brett Young - Mercy.f140.m4a,country,Brett Young - Mercy,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Brett Young - Mercy.f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Brooks & Dunn - Boot Scootin' Boogie (Official Video).f140.m4a,country,Brooks & Dunn - Boot Scootin' Boogie (Official Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Brooks & Dunn - Boot Scootin' Boogie (Official Video).f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Brooks & Dunn - Neon Moon (iTunes Originals).f140.m4a,country,Brooks & Dunn - Neon Moon (iTunes Originals),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Brooks & Dunn - Neon Moon (iTunes Originals).f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Brothers Osborne - It Ain’t My Fault (Official Music Video).f140.m4a,country,Brothers Osborne - It Ain’t My Fault (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Brothers Osborne - It Ain’t My Fault (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Bruce Sudano  Valerie Simpson - Two Bleeding Hearts (Official Music Video).f140.m4a,country,Bruce Sudano  Valerie Simpson - Two Bleeding Hearts (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Bruce Sudano  Valerie Simpson - Two Bleeding Hearts (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Chancy Squire – Back On The Run (Official Music Video).f140.m4a,country,Chancy Squire – Back On The Run (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Chancy Squire – Back On The Run (Official Music Video).f299.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Chase Matthew - Love You Again (Official Music Video).f140.m4a,country,Chase Matthew - Love You Again (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Chase Matthew - Love You Again (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Chris Janson - 'Buy Me A Boat' (Official Video).f140.m4a,country,Chris Janson - 'Buy Me A Boat' (Official Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Chris Janson - 'Buy Me A Boat' (Official Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Chris Lane - I Don't Know About You (Official Music Video).f140.m4a,country,Chris Lane - I Don't Know About You (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Chris Lane - I Don't Know About You (Official Music Video).f401.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Chris Stapleton - Fire Away (Official Music Video).f140.m4a,country,Chris Stapleton - Fire Away (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Chris Stapleton - Fire Away (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Chris Young - The Man I Want To Be (Official Video).f140.m4a,country,Chris Young - The Man I Want To Be (Official Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Chris Young - The Man I Want To Be (Official Video).f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Cole Swindell - You Should Be Here (Official Music Video).f140.m4a,country,Cole Swindell - You Should Be Here (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Cole Swindell - You Should Be Here (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Colt Ford - Workin' On (Official Music Video).f140.m4a,country,Colt Ford - Workin' On (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Colt Ford - Workin' On (Official Music Video).f137.mp4
"C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Courtesy Of The Red, White And Blue (The Angry American) (Official Music Video).f140.m4a",country,"Courtesy Of The Red, White And Blue (The Angry American) (Official Music Video)","C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Courtesy Of The Red, White And Blue (The Angry American) (Official Music Video).f137.mp4"
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Creedence Clearwater Revival - Lookin' Out My Back Door.f140.m4a,country,Creedence Clearwater Revival - Lookin' Out My Back Door,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Creedence Clearwater Revival - Lookin' Out My Back Door.f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Dan + Shay - Speechless (Wedding Video).f140.m4a,country,Dan + Shay - Speechless (Wedding Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Dan + Shay - Speechless (Wedding Video).f400.mp4
"C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Dan + Shay, Justin Bieber - 10,000 Hours (Official Music Video).f140.m4a",country,"Dan + Shay, Justin Bieber - 10,000 Hours (Official Music Video)","C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Dan + Shay, Justin Bieber - 10,000 Hours (Official Music Video).f401.mp4"
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Darius Rucker - Wagon Wheel.f140.m4a,country,Darius Rucker - Wagon Wheel,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Darius Rucker - Wagon Wheel.f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Deana Carter - Strawberry Wine (Official Music Video).f140.m4a,country,Deana Carter - Strawberry Wine (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Deana Carter - Strawberry Wine (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Dierks Bentley - Drunk On A Plane (Official Music Video).f140.m4a,country,Dierks Bentley - Drunk On A Plane (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Dierks Bentley - Drunk On A Plane (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Dolly Parton - 9 To 5.f140.m4a,country,Dolly Parton - 9 To 5,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Dolly Parton - 9 To 5.f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Drew Parker - Middle Of Nowhere Class (Official Music Video).f140.m4a,country,Drew Parker - Middle Of Nowhere Class (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Drew Parker - Middle Of Nowhere Class (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Dustin Bird - Heart of It.f140.m4a,country,Dustin Bird - Heart of It,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Dustin Bird - Heart of It.f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Dustin Lynch - Small Town Boy (Official Music Video).f140.m4a,country,Dustin Lynch - Small Town Boy (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Dustin Lynch - Small Town Boy (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Dylan Scott - My Girl (Official Music Video and #1 Song).f140.m4a,country,Dylan Scott - My Girl (Official Music Video and #1 Song),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Dylan Scott - My Girl (Official Music Video and #1 Song).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Eric Church - Smoke A Little Smoke (Official Music Video).f140.m4a,country,Eric Church - Smoke A Little Smoke (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Eric Church - Smoke A Little Smoke (Official Music Video).f401.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\George Strait - Check Yes Or No (Official Music Video).f140.m4a,country,George Strait - Check Yes Or No (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\George Strait - Check Yes Or No (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Gretchen Wilson - Redneck Woman.f140.m4a,country,Gretchen Wilson - Redneck Woman,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Gretchen Wilson - Redneck Woman.f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Hunter Brothers - Country State of Mind (Shop Edition) [Official Video].f140.m4a,country,Hunter Brothers - Country State of Mind (Shop Edition) [Official Video],C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Hunter Brothers - Country State of Mind (Shop Edition) [Official Video].f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Ingrid Andress - Feel Like This (Official Music Video).f140.m4a,country,Ingrid Andress - Feel Like This (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Ingrid Andress - Feel Like This (Official Music Video).f401.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Jade Eagleson - Got Your Name On It.f140.m4a,country,Jade Eagleson - Got Your Name On It,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Jade Eagleson - Got Your Name On It.f401.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Jamey Johnson - High Cost of Living - Music Video - Clifton Collins Jr..f140.m4a,country,Jamey Johnson - High Cost of Living - Music Video - Clifton Collins Jr.,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Jamey Johnson - High Cost of Living - Music Video - Clifton Collins Jr..f136.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Jamey Johnson - In Color (Official Video).f140.m4a,country,Jamey Johnson - In Color (Official Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Jamey Johnson - In Color (Official Video).f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Jason Aldean - Burnin' It Down.f140.m4a,country,Jason Aldean - Burnin' It Down,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Jason Aldean - Burnin' It Down.f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Johannes Gerstengarbe - Don't Give Up On Me Yet.f140.m4a,country,Johannes Gerstengarbe - Don't Give Up On Me Yet,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Johannes Gerstengarbe - Don't Give Up On Me Yet.f137.mp4
"C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\John Denver - Take Me Home, Country Roads (from The Wildlife Concert).f140.m4a",country,"John Denver - Take Me Home, Country Roads (from The Wildlife Concert)","C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\John Denver - Take Me Home, Country Roads (from The Wildlife Concert).f397.mp4"
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Johnny Cash - God's Gonna Cut You Down (Official Music Video).f140.m4a,country,Johnny Cash - God's Gonna Cut You Down (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Johnny Cash - God's Gonna Cut You Down (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Jon Pardi - Dirt On My Boots (Official Music Video).f140.m4a,country,Jon Pardi - Dirt On My Boots (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Jon Pardi - Dirt On My Boots (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Jordyn Shellhart - When Something's Gotta Give (Official Music Video).f140.m4a,country,Jordyn Shellhart - When Something's Gotta Give (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Jordyn Shellhart - When Something's Gotta Give (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Jordyn Shellhart - Who Are You Mad At (Official Music Video).f140.m4a,country,Jordyn Shellhart - Who Are You Mad At (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Jordyn Shellhart - Who Are You Mad At (Official Music Video).f137.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Josh Turner - Your Man (Official Music Video).f140.m4a,country,Josh Turner - Your Man (Official Music Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Josh Turner - Your Man (Official Music Video).f137.mp4
